"VNRO","PKOKO"
"000001",100
"000003",100
"000004",14
"000005",20
"000011",60
"000012",200
"000018",1
"000019",10
"000021",50
"000026",20
"000028",56
"000029",200
"000050",12
"000051",100
"000052",100
"000054",6
"000055",1
"000062",4
"000066",30
"000071",100
"000073",12
"000076",12
"000077",12
"000082",100
"000083",250
"000084",4
"000086",4
"000093",60
"000096",30
"000097",100
"000108",30
"000115",20
"000119",100
"000124",10
"000126",30
"000130",30
"000136",30
"000138",30
"000145",6
"000147",42
"000165",24
"000171",100
"000176",2
"000180",30
"000187",6
"000214",100
"000228",30
"000240",50
"000248",15
"000250",28
"000262",28
"000284",28
"000287",28
"000314",100
"000340",100
"000348",12
"000351",10
"000353",14
"000357",28
"000359",16
"000362",56
"000375",20
"000379",100
"000383",30
"000386",14
"000392",28
"000403",56
"000409",1
"000410",120
"000419",100
"000433",10
"000439",12
"000448",100
"000449",98
"000450",16
"000451",30
"000453",360
"000460",120
"000461",20
"000468",360
"000472",30
"000502",1
"000506",30
"000518",10
"000538",100
"000548",5
"000549",30
"000552",2
"000555",60
"000570",50
"000571",100
"000582",30
"000593",100
"000599",30
"000604",100
"000606",30
"000610",14
"000616",100
"000617",10
"000620",100
"000628",100
"000639",20
"000641",100
"000660",28
"000662",100
"000678",20
"000684",10
"000689",100
"000700",60
"000704",20
"000706",90
"000708",100
"000717",20
"000729",2
"000731",28
"000737",12
"000752",8
"000784",2
"000810",2
"000853",100
"000860",28
"000865",100
"000876",10
"000877",20
"000885",30
"000888",10
"000889",30
"000901",14
"000919",28
"000927",7
"000950",10
"000961",5
"000976",30
"000983",100
"000986",1
"000992",56
"001004",25
"001005",100
"001007",90
"001008",100
"001024",30
"001029",25
"001050",100
"001051",10
"001052",10
"001056",120
"001059",10
"001063",12
"001074",14
"001077",60
"001078",0.36
"001082",12
"001085",20
"001092",1
"001093",14
"001096",50
"001099",5
"001101",100
"001102",60
"001106",20
"001108",12
"001115",100
"001117",50
"001119",14
"001120",30
"001121",105
"001124",30
"001131",42
"001132",20
"001135",100
"001143",50
"001146",30
"001154",12
"001164",30
"001165",14
"001167",0.5
"001176",20
"001191",100
"001194",10
"001196",30
"001205",30
"001291",100
"001295",100
"001304",100
"001313",100
"001318",100
"001322",5
"001329",30
"001337",30
"001339",50
"001340",100
"001347",100
"001372",10
"001397",100
"001399",5
"001403",100
"001411",14
"001430",1
"001444",1
"001445",100
"001446",50
"001470",20
"001474",500
"001481",30
"001490",15
"001495",100
"001547",15
"001550",12
"001558",20
"001563",28
"001569",21
"001574",50
"001580",30
"001585",100
"001588",1026
"001591",50
"001592",3
"001596",28
"001604",100
"001605",1540
"001606",6
"001607",100
"001613",12
"001618",28
"001624",15
"001628",50
"001635",16
"001646",50
"001648",20
"001657",30
"001659",98
"001668",8
"001701",30
"001715",84
"001719",98
"001750",100
"001787",100
"001792",20
"001829",60
"001842",8
"001867",10
"001878",3
"001881",250
"001903",100
"001905",30
"001907",10
"001916",1250
"001918",1250
"001920",1250
"001927",20
"001949",14
"001973",10
"001974",100
"001999",56
"002005",30
"002007",168
"002010",56
"002018",100
"002019",10
"002022",28
"002039",100
"002048",98
"002056",10
"002073",1875
"002082",2500
"002087",100
"002095",1875
"002104",30
"002105",10
"002106",2500
"002116",30
"002121",250
"002124",5
"002140",30
"002147",15
"002169",2400
"002177",120
"002193",40
"002194",1440
"002204",500
"002216",100
"002245",10
"002261",7
"002263",120
"002265",120
"002279",30
"002294",28
"002295",10
"002296",200
"002314",2
"002328",98
"002334",10
"002336",100
"002345",250
"002353",20
"002361",100
"002372",20
"002383",100
"002391",21
"002394",14
"002397",20
"002403",100
"002404",30
"002410",100
"002414",20
"002419",100
"002422",20
"002443",56
"002477",10
"002482",90
"002491",4
"002501",98
"002520",30
"002527",100
"002530",90
"002531",30
"002540",30
"002556",28
"002558",20
"002575",10
"002579",2
"002612",4
"002616",63
"002623",4
"002626",100
"002647",90
"002658",15
"002669",30
"002672",100
"002678",100
"002680",90
"002692",30
"002694",100
"002695",10
"002697",30
"002699",30
"002701",30
"002703",30
"002706",100
"002723",100
"002727",100
"002728",100
"002729",30
"002733",100
"002738",30
"002749",100
"002754",204
"002760",30
"002771",100
"002772",28
"002789",9
"002804",30
"002813",7
"002819",100
"002824",50
"002826",100
"002831",10
"002837",100
"002838",10
"002840",100
"002853",1
"002871",20
"002875",5
"002882",30
"002886",70
"002892",10
"002899",270
"002909",35
"002920",70
"002923",20
"002931",30
"002936",12
"002941",100
"002943",1
"002954",15
"002966",1
"003009",28
"003023",98
"003064",50
"003072",100
"003088",3
"003092",50
"003097",30
"003099",2
"003106",100
"003110",30
"003112",100
"003117",30
"003121",100
"003147",50
"003158",100
"003164",1
"003175",1
"003181",100
"003182",100
"003195",4
"003206",100
"003207",20
"003208",4
"003224",20
"003230",4
"003239",20
"003240",100
"003250",28
"003252",4
"003261",98
"003262",100
"003264",100
"003273",20
"003274",4
"003275",100
"003286",100
"003296",4
"003300",14
"003318",4
"003340",4
"003350",100
"003353",100
"003362",4
"003378",6
"003386",4
"003393",100
"003395",1
"003402",28
"003412",100
"003414",100
"003423",28
"003426",40
"003449",120
"003455",60
"003459",26
"003467",10
"003469",100
"003485",250
"003509",30
"003510",84
"003523",100
"003525",5
"003534",100
"003545",100
"003567",30
"003571",84
"003596",30
"003607",100
"003618",30
"003623",30
"003631",100
"003645",30
"003653",100
"003664",30
"003678",100
"003687",100
"003723",3
"003742",1
"003748",28
"003754",10
"003756",50
"003758",30
"003761",28
"003765",10
"003775",3
"003787",50
